Date,NumAeronaves,Aircraft A,Aircraft A Ini Man Time,Aircraft A Ini Man Lat,Aircraft A Ini Man Lon,Aircraft A Ini Man Alt,Aircraft A Ini Man Vel_xy,Aircraft A Ini Man Vel_z,Aircraft A Ini Man Track,Speed Maneuver,Altitude Maneuver,Track Maneuver,Aircraft A End Man Time,Aircraft A End Man Lat,Aircraft A End Man Lon,Aircraft A End Man Alt,Aircraft A End Man Vel_xy,Aircraft A End Man Vel_z,Aircraft A End Man Track,Aircraft A Conflict Time,Aircraft A Conflict Lat,Aircraft A Conflict Lon,Aircraft A Conflict Alt,Aircraft A Conflict Vel_xy,Aircraft A Conflict Vel_z,Aircraft A Conflict Track,Aircraft B,Aircraft B Conflict Time,Aircraft B Conflict Lat,Aircraft B Conflict Lon,Aircraft B Conflict Alt,Aircraft B Conflict Vel_xy,Aircraft B Conflict Vel_z,Aircraft B Conflict Track
20230727,5785,406a92,2023-07-27 11:05:31,46.92672318180233,10.168153280070145,10827.589228239298,207.03944376479336,-4.64946994912042,313.0935469199717,0,0,-1,2023-07-27 11:36:31,48.1978409636161,5.505634227880987,10972.814634243565,214.0890903492868,-0.005950344208364694,294.5550011689531,2023-07-27 11:07:31,47.079280122654936,9.929427131186825,10827.589228239298,208.43859407648864,-0.007469845324244661,308.52143289036866,406696,2023-07-27 11:06:49,47.13128074074074,9.842971358024691,10972.15012345679,205.2215946116268,-0.007469845324244661,314.01175308641973
20230727,5785,4072ea,2023-07-27 12:46:57,47.01437502733764,19.55389467670612,12105.400274367395,191.0094475512891,7.546845330434523,292.96447822092864,1,0,0,2023-07-27 13:20:57,48.56207744815815,14.15060852347041,12025.132449369281,196.36653834087613,-3.8593023580867767,292.1258195515547,2023-07-27 13:10:57,47.97755430852878,16.191402543200425,12105.400274367395,216.93226164289706,0.0,293.4205057857043,89655b,2023-07-27 13:10:17,48.04770481586402,16.29985835694051,12192.0,212.7219076278289,0.0,291.7889518413598
20230727,5785,40773b,2023-07-27 11:44:33,49.37700918259108,1.5361718579183992,11261.112891605906,243.93779063758095,-0.21679526357141984,135.28387042227024,0,0,-1,2023-07-27 12:17:33,47.723371323012294,7.750004181068814,11277.000577043085,262.8956836320375,1.4432325754287738e-05,118.67006038911592,2023-07-27 11:53:33,48.53453426184242,2.8005462111657153,11261.112891605906,254.71421585965157,-0.03685496437496848,106.30137027527523,4d224f,2023-07-27 11:53:08,48.55111047140283,2.857319292421512,10889.038110594707,203.5134220226228,-0.03685496437496848,231.6081798349616
20230727,5785,407a05,2023-07-27 11:34:33,53.78333535621841,-1.6308858847743866,10999.362201598367,198.40423157669073,0.19856909700429853,333.34021588254296,0,1,0,2023-07-27 17:51:33,50.45877618924592,-5.935350005868222,10956.16099704394,228.83403007775883,-1.1108144776062352,351.7581628699457,2023-07-27 11:53:33,55.598631978544866,-3.2068510813934608,10999.362201598367,176.05790810855328,-1.6054337672217542,319.39562729133104,4008f2,2023-07-27 11:53:29,55.52952886597938,-3.0718072164948453,11506.536082474227,225.56460593600872,-1.6054337672217542,332.2474226804124
20230727,5785,407bdc_1,2023-07-27 16:36:09,44.649821968051235,-3.2275943994334977,11279.960208702043,231.09105986852703,0.36609785085406205,173.59860012020596,0,0,-1,2023-07-27 16:49:09,43.14476497459121,-2.3852575935870735,11190.367378546147,241.0201775662287,-10.512890500551913,155.96902594488003,2023-07-27 16:46:09,43.409713472307416,-3.034946763799842,11279.960208702043,241.10550418451226,0.4110383595193877,149.4126019363888,4400b7,2023-07-27 16:45:42,43.466870767416324,-2.9533637480174066,10950.45709300907,230.7437273682933,0.4110383595193877,143.21430111025256
20230727,5785,407c0b,2023-07-27 13:26:39,43.708689266714536,15.460675036250548,11277.012793499469,189.71963747807607,0.0005216435036525739,126.37648018224583,1,0,0,2023-07-27 14:47:39,35.14900062264228,26.266059102523787,11277.001260637,194.0331735224776,0.00024364389560014473,143.01127878512398,2023-07-27 14:26:39,40.05852398376381,22.085654811606396,11277.012793499469,263.079982365025,0.0,141.76258311632947,452112,2023-07-27 14:26:32,40.033095899309785,22.170908499120316,11407.21261334416,220.6801599875221,0.0,212.2918121532007
20230727,5785,43c39d,2023-07-27 12:09:43,30.77704160958694,-85.14553044948374,9949.805145395376,278.89000009176175,-6.191678798420026,101.77560533188358,1,0,0,2023-07-27 13:07:43,25.061038177419633,-81.50544020491381,9936.620518463626,225.79094434476545,-13.596820248566209,116.17199743017187,2023-07-27 12:15:43,30.59154893691043,-84.11991490426732,9949.805145395376,227.30368663156816,-2.4796747967479673,122.56293683028059,a2200a,2023-07-27 12:15:23,30.6,-84.1936,9753.0,229.35658650774224,-2.4796747967479673,161.0
20230727,5785,461f9e,2023-07-27 11:30:57,56.16474738596551,17.85646775394666,11442.004341576634,224.0785116156284,-0.11127991262590796,219.60546870909755,-1,0,0,2023-07-27 12:24:57,49.58754069820708,14.394994440553203,11540.626502839486,244.79916888843616,0.3796606616455093,201.57651426807345,2023-07-27 11:34:57,55.79230698348846,17.30794107650353,11442.004341576634,231.61139711959132,0.0,206.83990012183665,4ac9f4,2023-07-27 11:34:34,55.85712835820895,17.381020895522386,11277.0,246.09490389039104,0.0,159.86567164179104
20230727,5785,461f9e,2023-07-27 11:09:57,58.08677903477002,21.24018088122816,11439.136391560321,176.87233334280015,-5.269110125145252,223.46028822335887,1,0,0,2023-07-27 11:52:57,53.65914677198744,16.266618767830426,11444.564169376545,185.09430101437158,-13.032838653612554,195.04209933022784,2023-07-27 11:16:57,57.60222435710778,20.38059423612436,11439.136391560321,331.58207962555167,0.0,222.9221176702956,152063,2023-07-27 11:45:09,57.527,20.51,10972.8,223.54,0.0,189.94
20230727,5785,4841a5,2023-07-27 11:08:39,45.76478003763252,7.5653750752632165,11602.345991900746,211.64072937640233,-0.028952564937622754,307.7002693349589,0,0,1,2023-07-27 11:59:39,47.074821281920435,6.2010925854604295,11582.399993219908,238.73208453787834,-8.003281281112114e-08,325.9389312772575,2023-07-27 11:12:39,46.043947666810205,7.047125727869949,11602.345991900746,217.7022587056711,-0.0012164691203981441,319.6545865984258,39d307,2023-07-27 11:11:33,46.08700655021834,6.971186244541484,11582.365938864628,208.80580267777648,-0.0012164691203981441,309.3539519650655
